1980,45000
1686,30660
1097,20000
2350,220000
2276,404900
1260,129000
1680,106000
1434,35000
3687,1400000
1323,110000
971,36000
1078,21665
950,60000
2313,115150
1832,83000
1276,35000
1805,280000
1236,15000
3467,150000
1508,144000
2167,165000
2595,138000
2863,355000
1350,157000
900,155000
1376,160000
1742,99000
1332,99999
3699,525000
3777,420000
601,15000
1566,109200
1664,87500
1175,14500
2184,157900
13880,1600000
1249,89900
1450,17000
15854,1500000
2458,342000
2610,139300
46574,1800000
1900,287000
1475,170000
1452,156827
3139,230000
1240,104900
2004,131870
1890,225000
1889,150000
1248,12301
1859,235000
2431,205000
770,164500
2921,259500
1849,245000
3167,182000
1445,143000
920,50000
2712,136000
2166,99000
1108,37000
1278,89900
849,83000
2973,192500
3122,468000
2464,193000
1159,102500
1588,79500
1989,134000
1124,345000
1873,12700
37277,960000
4248,260000
1296,87900
1913,193500
1656,135000
2250,110000
1384,102600
1511,54968
1661,140000
2021,155000
1174,12000
1525,199000
2176,120100
1559,80000
1775,86000
1201,27900
2652,245400
1984,210000
2403,138000
2087,26100
935,50000
2526,113000
8400,1700000
5728,525000
3875,155000
1317,30000
1548,73500
1189,65000
1699,75000
2053,515000
2341,273700
1764,178000
2463,158000
2265,71000
1875,25000
1993,145000
1948,164200
1430,5000
1412,63000
1902,154000
1500,160000
1044,35000
2586,124000
3894,527000
1420,115100
2052,319900
1391,139900
1361,20000
1685,170000
2656,245000
1424,115000
1043,110000
1108,136000
2114,24000
828,8250
712,16000
845,36000
1260,81500
1986,28000
4200,689500
1265,234000
1953,239000
12360,20000
2477,158000
1408,102000
4170,134001
2200,450000
930,235000
1961,242500
1630,50000
1400,155000
2157,164500
836,30000
1083,74500
1200,118500
3106,145173
2595,140000
2047,140000
1781,112500
2093,62000
3396,314500
2073,175500
784,14000
1830,103900
1237,155000
1872,186750
1006,244000
972,165000
1657,155000
3931,378000
2428,237000
2149,62500
2540,299000
3366,85000
2220,111500
2206,212500
2302,212500
3300,605100
1977,84000
1434,61393
1881,235000
1216,950000
2833,133500
2192,136500
2159,32751
1581,9900
1464,218100
1560,9900
1778,6050
1982,140000
980,18000
1315,67600
1754,114000
1081,15000
1475,178700
65587,140000
1702,175000
1725,84250
1299,39984
2159,189000
2824,339900
1639,128000
1260,41000
1664,145700
1136,55000
2668,156500
1080,55000
1487,45000
5400,225000
1788,155000
1609,76500
1147,39870
2158,182000
1564,180000
1961,190000
1204,109000
1276,3500
1553,146000
904,25850
2830,198600
4338,20500
3137,34750
1484,40150
2327,160000
1250,12000
1306,95000
1360,80000
1382,197000
2742,29700
2834,150000
3467,243000
1136,38500
1599,167300
2171,20000
2050,142500
1269,142500
2826,215000
1036,45000
1800,177500
1191,63600
2347,100000
1470,21500
1406,81000
987,12726
1890,70000
3305,220000
2025,140000
950,47000
2694,163000
1470,22500
2081,40000
285930,2650000
2222,173000
896,64700
1362,79751
1174,32000
1908,179900
1152,7000
2248,150000
1678,150000
2728,65000
3898,419000
1384,150000
2066,111000
2921,257200
1116,22201
2468,46000
1210,79000
4401,595000
4460,412000
1590,55000
1087,34500
1604,290250
1262,18000
1353,115975
2052,145000
1939,120000
1154,89900
1936,145500
2030,300000
2839,383500
2082,190000
1578,175000
1469,31000
1074,89900
4746,393244
1821,57000
2037,152000
2862,302000
1281,25000
1185,28000
1592,142000
2720,328000
2355,192900
3995,65000
3177,225000
1173,25500
1712,68462
1540,137000
2586,165000
2183,163000
1855,135000
1439,136000
1312,37812
2112,164000
1050,124000
1814,205000
2696,161500
1140,83000
1309,83100
2497,130000
3339,330000
5173,540000
78975,150000
6801,205000
2654,347500
974,48750
2310,460000
1996,220000
1798,225000
1045,95000
1388,12000
1084,53000
